Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age Group
Mike Scott,Atlanta Hawks,32,PF,27,176,237,Virginia,3333333.0,20-30
Thabo Sefolosha,Atlanta Hawks,25,SF,32,167,220,,4000000.0,30-40
Tiago Splitter,Atlanta Hawks,11,C,31,171,245,,9756250.0,30-40
Walter Tavares,Atlanta Hawks,22,C,24,162,260,,1000000.0,20-30
Jeff Teague,Atlanta Hawks,0,PG,27,167,186,Wake Forest,8000000.0,20-30
Nicolas Batum,Charlotte Hornets,5,SG,27,165,200,,13125306.0,20-30
Troy Daniels,Charlotte Hornets,30,SG,24,163,205,Virginia Commonwealth,947276.0,20-30
Jorge Gutierrez,Charlotte Hornets,12,PG,27,177,189,California,189455.0,20-30
Tyler Hansbrough,Charlotte Hornets,50,PF,30,159,250,North Carolina,947276.0,30-40
Aaron Harrison,Charlotte Hornets,9,SG,21,172,210,Kentucky,525093.0,20-30
Spencer Hawes,Charlotte Hornets,0,PF,28,168,245,Washington,6110034.0,20-30
Al Jefferson,Charlotte Hornets,25,C,31,158,289,,13500000.0,30-40
Frank Kaminsky III,Charlotte Hornets,44,C,23,150,240,Wisconsin,2612520.0,20-30
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,157,232,Kentucky,6331404.0,20-30
Jeremy Lamb,Charlotte Hornets,3,SG,24,178,185,Connecticut,3034356.0,20-30
Courtney Lee,Charlotte Hornets,1,SG,30,178,200,Western Kentucky,5675000.0,30-40
Jeremy Lin,Charlotte Hornets,7,PG,27,156,200,Harvard,2139000.0,20-30
Kemba Walker,Charlotte Hornets,15,PG,26,157,184,Connecticut,12000000.0,20-30
Marvin Williams,Charlotte Hornets,2,PF,29,177,237,North Carolina,7000000.0,20-30
Cody Zeller,Charlotte Hornets,40,C,23,176,240,Indiana,4204200.0,20-30
Chris Bosh,Miami Heat,1,PF,32,167,235,Georgia Tech,22192730.0,30-40
Luol Deng,Miami Heat,9,SF,31,156,220,Duke,10151612.0,30-40
Goran Dragic,Miami Heat,7,PG,30,177,190,,14783000.0,30-40
Gerald Green,Miami Heat,14,SF,30,178,205,,947276.0,30-40
Udonis Haslem,Miami Heat,40,PF,36,158,235,Florida,2854940.0,30-40
Joe Johnson,Miami Heat,2,SF,34,156,240,Arkansas,261894.0,30-40
Tyler Johnson,Miami Heat,8,SG,24,169,186,Fresno State,845059.0,20-30
Josh McRoberts,Miami Heat,4,PF,29,165,240,Duke,5543725.0,20-30
Josh Richardson,Miami Heat,0,SG,22,152,200,Tennessee,525093.0,20-30
Amar'e Stoudemire,Miami Heat,5,PF,33,164,245,,947276.0,30-40
Dwyane Wade,Miami Heat,3,SG,34,158,220,Marquette,20000000.0,30-40
Briante Weber,Miami Heat,12,PG,23,179,165,Virginia Commonwealth,,20-30
Hassan Whiteside,Miami Heat,21,C,26,152,265,Marshall,981348.0,20-30
Justise Winslow,Miami Heat,20,SF,20,172,225,Duke,2481720.0,20-30
Dorell Wright,Miami Heat,11,SF,30,163,205,,,30-40
Dewayne Dedmon,Orlando Magic,3,C,26,160,245,USC,947276.0,20-30
Evan Fournier,Orlando Magic,10,SG,23,162,205,,2288205.0,20-30
Aaron Gordon,Orlando Magic,0,PF,20,152,220,Arizona,4171680.0,20-30
Mario Hezonja,Orlando Magic,23,SG,21,171,218,,3741480.0,20-30
Ersan Ilyasova,Orlando Magic,7,PF,29,180,235,,7900000.0,20-30
Brandon Jennings,Orlando Magic,55,PG,26,150,169,,8344497.0,20-30
Devyn Marble,Orlando Magic,11,SF,23,174,200,Iowa,845059.0,20-30
Shabazz Napier,Orlando Magic,13,PG,24,162,175,Connecticut,1294440.0,20-30
Andrew Nicholson,Orlando Magic,44,PF,26,160,250,St. Bonaventure,2380593.0,20-30
Victor Oladipo,Orlando Magic,5,SG,24,163,210,Indiana,5192520.0,20-30
Elfrid Payton,Orlando Magic,4,PG,22,166,185,Louisiana-Lafayette,2505720.0,20-30
Jason Smith,Orlando Magic,14,PF,30,164,240,Colorado State,4300000.0,30-40
Nikola Vucevic,Orlando Magic,9,C,25,175,260,USC,11250000.0,20-30
C.J. Watson,Orlando Magic,32,PG,32,179,175,Tennessee,5000000.0,30-40
Alan Anderson,Washington Wizards,6,SG,33,150,220,Michigan State,4000000.0,30-40
Bradley Beal,Washington Wizards,3,SG,22,171,207,Florida,5694674.0,20-30
Jared Dudley,Washington Wizards,1,SF,30,175,225,Boston College,4375000.0,30-40
Jarell Eddie,Washington Wizards,8,SG,24,176,218,Virginia Tech,561716.0,20-30
Drew Gooden,Washington Wizards,90,PF,34,170,250,Kansas,3300000.0,30-40
Marcin Gortat,Washington Wizards,13,C,32,163,240,,11217391.0,30-40
JJ Hickson,Washington Wizards,21,C,27,163,242,North Carolina State,273038.0,20-30
Nene Hilario,Washington Wizards,42,C,33,168,250,,13000000.0,30-40
Markieff Morris,Washington Wizards,5,PF,26,170,245,Kansas,8000000.0,20-30
Kelly Oubre Jr.,Washington Wizards,12,SF,20,158,205,Kansas,1920240.0,20-30
Otto Porter Jr.,Washington Wizards,22,SF,23,162,198,Georgetown,4662960.0,20-30
Ramon Sessions,Washington Wizards,7,PG,30,171,190,Nevada,2170465.0,30-40
Garrett Temple,Washington Wizards,17,SG,30,152,195,LSU,1100602.0,30-40
Marcus Thornton,Washington Wizards,15,SF,29,175,205,LSU,200600.0,20-30
John Wall,Washington Wizards,2,PG,25,168,195,Kentucky,15851950.0,20-30
Darrell Arthur,Denver Nuggets,0,PF,28,154,235,Kansas,2814000.0,20-30
D.J. Augustin,Denver Nuggets,12,PG,28,151,183,Texas,3000000.0,20-30
Will Barton,Denver Nuggets,5,SF,25,156,175,Memphis,3533333.0,20-30
Wilson Chandler,Denver Nuggets,21,SF,29,177,225,DePaul,10449438.0,20-30
Kenneth Faried,Denver Nuggets,35,PF,26,180,228,Morehead State,11235955.0,20-30
Danilo Gallinari,Denver Nuggets,8,SF,27,152,225,,14000000.0,20-30
Gary Harris,Denver Nuggets,14,SG,21,160,210,Michigan State,1584480.0,20-30
Nikola Jokic,Denver Nuggets,15,C,21,150,250,,1300000.0,20-30
Joffrey Lauvergne,Denver Nuggets,77,C,24,162,220,,1709719.0,20-30
Mike Miller,Denver Nuggets,3,SG,36,180,218,Florida,947276.0,30-40
Emmanuel Mudiay,Denver Nuggets,0,PG,20,172,200,,3102240.0,20-30
Jameer Nelson,Denver Nuggets,1,PG,34,167,190,Saint Joseph's,4345000.0,30-40
Jusuf Nurkic,Denver Nuggets,23,C,21,152,280,,1842000.0,20-30
JaKarr Sampson,Denver Nuggets,9,SG,23,153,214,St. John's,258489.0,20-30
Axel Toupane,Denver Nuggets,6,SG,23,159,210,,,20-30
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,158,240,,3950001.0,20-30
Gorgui Dieng,Minnesota Timberwolves,5,C,26,162,241,Louisville,1474440.0,20-30
Kevin Garnett,Minnesota Timberwolves,21,PF,40,177,240,,8500000.0,40-50
Tyus Jones,Minnesota Timberwolves,1,PG,20,170,195,Duke,1282080.0,20-30
Zach LaVine,Minnesota Timberwolves,8,PG,21,159,189,UCLA,2148360.0,20-30
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,161,223,UCLA,2056920.0,20-30
Adreian Payne,Minnesota Timberwolves,33,PF,25,171,237,Michigan State,1938840.0,20-30
Nikola Pekovic,Minnesota Timberwolves,14,C,30,179,307,,12100000.0,30-40
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,166,212,Kentucky,947276.0,30-40
Ricky Rubio,Minnesota Timberwolves,9,PG,25,180,194,,12700000.0,20-30
Damjan Rudez,Minnesota Timberwolves,10,SF,29,178,230,,1149500.0,20-30
Greg Smith,Minnesota Timberwolves,4,PF,25,175,250,Fresno State,,20-30
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,177,244,Kentucky,5703600.0,20-30
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,175,199,Kansas,5758680.0,20-30
Steven Adams,Oklahoma City Thunder,12,C,22,158,255,Pittsburgh,2279040.0,20-30
Nick Collison,Oklahoma City Thunder,4,PF,35,176,255,Kansas,3750000.0,30-40
Kevin Durant,Oklahoma City Thunder,35,SF,27,166,240,Texas,20158622.0,20-30
Randy Foye,Oklahoma City Thunder,6,SG,32,150,213,Villanova,3135000.0,30-40
Josh Huestis,Oklahoma City Thunder,34,SF,24,172,230,Stanford,1140240.0,20-30
Serge Ibaka,Oklahoma City Thunder,9,PF,26,168,245,,12250000.0,20-30
Enes Kanter,Oklahoma City Thunder,11,C,24,179,245,Kentucky,16407500.0,20-30
Mitch McGary,Oklahoma City Thunder,33,PF,24,151,255,Michigan,1463040.0,20-30
Nazr Mohammed,Oklahoma City Thunder,13,C,38,165,250,Kentucky,222888.0,30-40
Anthony Morrow,Oklahoma City Thunder,2,SG,30,163,210,Georgia Tech,3344000.0,30-40
Cameron Payne,Oklahoma City Thunder,22,PG,21,154,185,Murray State,2021520.0,20-30
Andre Roberson,Oklahoma City Thunder,21,SG,24,179,210,Colorado,1210800.0,20-30
Kyle Singler,Oklahoma City Thunder,5,SF,28,169,228,Duke,4500000.0,20-30
Dion Waiters,Oklahoma City Thunder,3,SG,24,163,220,Syracuse,5138430.0,20-30
Russell Westbrook,Oklahoma City Thunder,0,PG,27,152,200,UCLA,16744218.0,20-30
Cliff Alexander,Portland Trail Blazers,34,PF,20,166,240,Kansas,525093.0,20-30
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,160,215,Wake Forest,8042895.0,20-30
Pat Connaughton,Portland Trail Blazers,5,SG,23,155,206,Notre Dame,625093.0,20-30
Allen Crabbe,Portland Trail Blazers,23,SG,24,160,210,California,947276.0,20-30
Ed Davis,Portland Trail Blazers,17,C,27,171,240,North Carolina,6980802.0,20-30
Maurice Harkless,Portland Trail Blazers,4,SF,23,176,215,St. John's,2894059.0,20-30
Gerald Henderson,Portland Trail Blazers,9,SG,28,160,215,Duke,6000000.0,20-30
Chris Kaman,Portland Trail Blazers,35,C,34,160,265,Central Michigan,5016000.0,30-40
Meyers Leonard,Portland Trail Blazers,11,PF,24,170,245,Illinois,3075880.0,20-30
Damian Lillard,Portland Trail Blazers,0,PG,25,157,195,Weber State,4236287.0,20-30
C.J. McCollum,Portland Trail Blazers,3,SG,24,165,200,Lehigh,2525160.0,20-30
Luis Montero,Portland Trail Blazers,44,SG,23,159,185,Westchester CC,525093.0,20-30
Mason Plumlee,Portland Trail Blazers,24,C,26,168,235,Duke,1415520.0,20-30
Brian Roberts,Portland Trail Blazers,2,PG,30,173,173,Dayton,2854940.0,30-40
Noah Vonleh,Portland Trail Blazers,21,PF,20,163,240,Indiana,2637720.0,20-30
Trevor Booker,Utah Jazz,33,PF,28,171,228,Clemson,4775000.0,20-30
Trey Burke,Utah Jazz,3,PG,23,177,191,Michigan,2658240.0,20-30
Alec Burks,Utah Jazz,10,SG,24,175,214,Colorado,9463484.0,20-30
Dante Exum,Utah Jazz,11,PG,20,161,190,,3777720.0,20-30
Derrick Favors,Utah Jazz,15,PF,24,173,265,Georgia Tech,12000000.0,20-30
Rudy Gobert,Utah Jazz,27,C,23,176,245,,1175880.0,20-30
Gordon Hayward,Utah Jazz,20,SF,26,159,226,Butler,15409570.0,20-30
Rodney Hood,Utah Jazz,5,SG,23,177,206,Duke,1348440.0,20-30
Joe Ingles,Utah Jazz,2,SF,28,172,226,,2050000.0,20-30
Chris Johnson,Utah Jazz,23,SF,26,171,206,Dayton,981348.0,20-30
Trey Lyles,Utah Jazz,41,PF,20,150,234,Kentucky,2239800.0,20-30
Shelvin Mack,Utah Jazz,8,PG,26,169,203,Butler,2433333.0,20-30
Raul Neto,Utah Jazz,25,PG,24,164,179,,900000.0,20-30
Tibor Pleiss,Utah Jazz,21,C,26,171,256,,2900000.0,20-30
Jeff Withey,Utah Jazz,24,C,26,161,231,Kansas,947276.0,20-30
Priyanka,Utah Jazz,34,C,25,163,231,Kansas,947276.0,20-30
